MONTH,YEAR,PASSENGERS CARRIED(NO)
,,
JAN,2009,"456,762"
FEB,2009,"440,856"
MAR,2009,"425,276"
APR,2009,"453,568"
MAY,2009,"539,836"
JUN,2009,"504,092"
JUL,2009,"502,011"
AUG,2009,"504,788"
SEP,2009,"500,715"
OCT,2009,"539,898"
NOV,2009,"550,077"
DEC,2009,"683,669"
JAN,2010,625039
FEB,2010,577300
MAR,2010,573915
APR,2010,658333
MAY,2010,752994
JUN,2010,737359
JUL,2010,690844
AUG,2010,655978
SEP,2010,635422
OCT,2010,775024
NOV,2010,843460
DEC,2010,970757
JAN,2011,"950,408"
FEB,2011,"855,421"
MAR,2011,"940,897"
APR,2011,"920,802"
MAY,2011,"1,091,385"
JUN,2011,"1,042,228"
JUL,2011,"951,789"
AUG,2011,"895,566"
SEP,2011,"900,576"
OCT,2011,"1,058,595"
NOV,2011,"1,072,003"
DEC,2011,"1,147,535"
JAN,2012,"1,111,061"
FEB,2012,"1,076,699"
MAR,2012,"1,068,637"
APR,2012,"1,211,875"
MAY,2012,"1,356,436"
JUN,2012,"1,328,497"
JUL,2012,"1,225,859"
AUG,2012,"1,205,383"
SEP,2012,"1,093,688"
OCT,2012,"1,266,126"
NOV,2012,"1,368,563"
DEC,2012,"1,456,630"
JAN,2013,1408012
FEB,2013,1341210
MAR,2013,1423569
APR,2013,1511094
MAY,2013,1685168
JUN,2013,1480879
JUL,2013,1445248
AUG,2013,1531406
SEP,2013,1378691
OCT,2013,1510184
NOV,2013,1467763
DEC,2013,1575872
JAN,2014,"14,26,580"
FEB,2014,"14,64,070"
MAR,2014,"16,01,141"
APR,2014,"16,79,963"
MAY,2014,"19,08,334"
JUN,2014,"17,97,101"
JUL,2014,"15,99,977"
AUG,2014,"18,58,664"
SEP,2014,"19,07,378"
OCT,2014,"18,90,273"
NOV,2014,"19,67,992"
DEC,2014,"23,24,221"
JAN,2015,"22,76,404"
FEB,2015,"22,30,645"
MAR,2015,"22,86,128"
APR,2015,"24,81,285"
MAY,2015,"27,69,283"
JUN,2015,"25,36,554"
JUL,2015,"24,16,916"
AUG,2015,"23,84,943"
SEP,2015,"24,30,449"
OCT,2015,"25,89,861"
NOV,2015,"25,97,765"
DEC,2015,"27,43,325"
JAN,2016,"2,725,711"
FEB,2016,"2,754,131"
MAR,2016,"3,023,228"
APR,2016,"3,066,556"
MAY,2016,"3,336,839"
JUN,2016,"3,023,081"
JUL,2016,"3,383,768"
AUG,2016,"3,341,081"
SEP,2016,"3,295,826"
OCT,2016,"3,692,828"
NOV,2016,"3,772,583"
DEC,2016,"3,848,322"
JAN,2017,"3,809,228"
FEB,2017,"3,418,605"
MAR,2017,"3,611,371"
APR,2017,"3,778,780"
MAY,2017,"4,190,914"
JUN,2017,"3,825,814"
JUL,2017,"3,699,451"
AUG,2017,"3,678,245"
SEP,2017,"3,664,509"
OCT,2017,"4,133,027"
NOV,2017,"4,131,844"
DEC,2017,"4,430,070"
JAN,2018,"4,556,904"
FEB,2018,"4,290,189"
MAR,2018,"4,576,236"
APR,2018,"4,579,916"
MAY,2018,"4,852,909"
JUN,2018,"4,672,686"
JUL,2018,"5,002,416"
AUG,2018,"4,757,378"
SEP,2018,"4,920,335"
OCT,2018,"5,074,853"
NOV,2018,"5,005,919"
DEC,2018,"5,478,523"
JAN,2019,"5,321,832"
FEB,2019,"4,930,608"
MAR,2019,"5,440,796"
APR,2019,"5,481,088"
MAY,2019,"5,979,551"
JUN,2019,"5,778,376"
JUL,2019,"5,693,448"
AUG,2019,"5,540,693"
SEP,2019,"5,559,031"
OCT,2019,"5,842,318"
NOV,2019,"6,151,347"
DEC,2019,"6,188,457"
JAN,2020,"6,119,924"
FEB,2020,"5,931,189"
MAR,2020,"3,793,464"
APR,2020,0
MAY,2020,"142,254"
JUN,2020,"1,046,836"
JUL,2020,"1,272,240"
AUG,2020,"1,681,787"
SEP,2020,"2,265,539"
OCT,2020,"2,926,835"
NOV,2020,"3,423,059"
DEC,2020,"3,951,522"
JAN,2021,"4,202,712"
